Mkoa,District,Kata,Kijiji,Namba ya barabara,Urefu wa barabara,Group name,Number of group members,F,M,Discount,Dis,Reg type1,Reg type2,Reg type3,Latitude,Longitude
Morogoro,Kilombero,Mlali,Mlali,,,WAKINA MAMA MAZINGIRA,25,22,3,,0,CMG,,,-7.7888941,37.0380919
Morogoro,Kilombero,Mlali,Mlali,,,WANAWAKE KUJIAMINI,16,16,0,,0,CMG,,,-7.7888436,37.038086
Morogoro,Kilombero,Mlali,Mlali,,,mapambano ,18,0,18,,0,CMG,,,-7.76674,36.9575246
Morogoro,Kilombero,Mlali,Mlali,,,mwenda pole,11,11,0,,0,CMG,,,-7.8912523,36.9527449
Morogoro,Kilombero,Mlali,Mlali,,,Temobo,23,7,16,,0,CMG,,,-7.8912973,36.9527029
Morogoro,Kilombero,Mlali,Mlali,,,JITUME GROUP MHELULE,15,5,10,,0,CBRM,,,-7.8912411,36.9527741
Morogoro,Kilombero,Mlali,Mlali,,,Hapa Kazi tu,35,25,10,,0,CMG,,,-7.8912798,36.9527248
Morogoro,Kilombero,Mlali,Mkuyuni,,,Tushikamane group Kisawasawa,18,18,0,,0,CMG,,,-7.8961196,36.875672
Morogoro,Kilombero,Mlali,Mkuyuni,,,UMOJA NI NGUVU KISAWASAWA,7,7,0,,0,CMG,,,-7.8960847,36.8756049
Morogoro,Kilombero,Mlali,Kinyenze,,,TASAF KISAWASAWA,72,30,42,,0,CBRM,,,-7.896109,36.8756506
Morogoro,Kilombero,Mlali,Kinyenze,,,MSHIKAMANO MBASA,10,10,0,,0,CMG,,,-8.111925,36.6927398
Morogoro,Kilombero,Mlali,Kinyenze,,,VIJANA FIRST BODA BODA,5,1,4,,0,CMG,,,-8.1117935,36.6926489
Morogoro,Kilombero,Mlali,Kinyenze,,,MAMA BORESHA MAISHA,14,14,0,,0,CMG,,,-8.1118764,36.6926383
Morogoro,Kilombero,Mlali,Kinyenze,,,WANAWAKE NA MAENDELEO,16,16,0,,0,CMG,,,-8.1118832,36.692731
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,MUUNGANO WAJASILIAMALI,6,0,6,,0,CMG,,,-8.1388323,36.6784728
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,TWENDE SAWA - IFAKARA,26,26,0,,0,CMG,,,-8.1389074,36.6783318
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,VIJANA MKOMBOZI,12,0,12,,0,CMG,,,-8.1388946,36.6783745
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,TTCIA WANAWAKE,15,15,0,,0,CMG,,,-8.1393239,36.6786997
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,WAKWETU GROUP,10,0,10,,0,CMG,,,-8.1389222,36.6785024
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,MSHIKAMANO,10,0,10,,0,CMG,,,-8.138834,36.6783896
Morogoro,Kilombero,Ifakara Mjini,Nduna,,,VIJANA MSHIKAMANO GROUP,6,2,4,,0,CMG,,,-8.1389431,36.6784492
Morogoro,Kilombero,Ifakara Mjini,,,,Vijana Lioki,5,1,4,,0,CMG,,,-8.0725555,36.6545723
Morogoro,Kilombero,Ifakara Mjini,,,,AKINA MAMA BOMANI,18,18,0,,0,CMG,,,-8.078202,36.6840795
Morogoro,Kilombero,Ifakara Mjini,,,,Mitumba Site,15,11,4,,0,CMG,,,-8.0781549,36.6841526
Morogoro,Kilombero,Ifakara Mjini,,,,Vijana Boda boda Tazara,5,0,5,,0,CMG,,,-8.0781948,36.6841331
Morogoro,Kilombero,Ifakara Mjini,,,,Vijana bodaboda mjimpya,5,0,5,,0,CMG,,,-8.0781827,36.6841612
Morogoro,Kilombero,Ifakara Mjini,,,,Graduators 2005,6,2,4,,0,CMG,,,-8.078245,36.684192
Morogoro,Kilombero,Ifakara Mjini,,,,Umoja ni nguvu,8,8,0,,0,CMG,,,-8.0780929,36.6842353
Morogoro,Kilombero,Utengule,Mpanga,,,Vijana Bodaboda Mpanga,6,0,6,,0,CMG,CBO,,-8.9247624,35.8131203
Morogoro,Kilombero,Utengule,Mpanga,,,Mpanga Road Service,20,3,17,,0,TARURA SPECIAL GROUP,,,-8.9247625,35.8131032
Morogoro,Kilombero,Utengule,Mpanga,,,Maendeleo Mpanga,22,22,0,,0,CMG,CBO,,-8.9247309,35.8130527
Morogoro,Kilombero,Utengule,Mpanga,,,Salanga - Mpanga,11,10,1,,0,CMG,,,-8.9247509,35.8130896
Morogoro,Kilombero,Utengule,Mpanga,,,Vambia Mpanga,10,6,4,,0,CMG,,,-8.9247771,35.8131309
Morogoro,Kilombero,Utengule,Mpanga,,,Jipemoyo - Mpanga,25,25,0,,0,CMG,CBO,,-8.924818,35.8131117
Morogoro,Kilombero,Utengule,Mpanga,,,Twitange Mpanga,19,19,0,,0,CMG,CBO,,-8.9247607,35.8131587
Morogoro,Kilombero,Idete,Miwangani,,,Kizazi Kipya TASAF,15,10,5,,0,USHIRIKA,,,-8.1481144,36.5056066
Morogoro,Kilombero,Idete,Miwangani,,,Akina Mama Tunaweza,10,10,0,,0,CMG,,,-8.1480964,36.5055939
Morogoro,Kilombero,Idete,Miwangani,,,Baraka,30,21,9,,0,CMG,CBO,,-8.148081,36.5055562
Morogoro,Kilombero,Idete,Miwangani,,,Jitume,14,13,1,,0,USHIRIKA,,,-8.1480836,36.505611
Morogoro,Kilombero,Idete,Miwangani,,,Tutaweza,13,12,1,,0,USHIRIKA,,,-8.1480709,36.5055824
Morogoro,Kilombero,Mngeta,Mkangawalo,,,Umoja Ilole,13,13,0,,0,CMG,,,-8.3732322,36.0890088
Morogoro,Kilombero,Mngeta,Mkangawalo,,,Dhiki na Faraja,22,22,0,,0,CMG,,,-8.3732677,36.089004
Morogoro,Kilombero,Mngeta,Mkangawalo,,,Wote ni Wamoja,7,7,0,,0,CMG,,,-8.3731959,36.0891126
Morogoro,Kilombero,Mngeta,Itongowa,,,Bodaboda Miti B,6,3,3,,0,CMG,,,-8.3551861,36.0744841
Morogoro,Kilombero,Mngeta,Itongowa,,,Vijana Nguvu Moja,5,5,0,,0,CMG,,,-8.3552195,36.07457
Morogoro,Kilombero,Mngeta,Itongowa,,,Ushirikiano Itongowa,8,8,0,,0,CMG,,,-8.355249,36.0745573
Morogoro,Kilombero,Mngeta,Itongowa,,,Vijana Wise,5,3,2,,0,CMG,,,-8.355242,36.0745538
